Sentence,Sentiment,Sentence_clear
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,contract incorporate convergent charge rating solution voice datum include internet gprs sm mms wap
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,positive,astrazenecas lung cancer drug tagrisso get fda approval
"Our customers include companies in the energy and process industry sectors , in particular .",neutral,customer include company energy process industry sector particular
Europe however remains an important and strong market for us .,neutral,europe however remain important strong market we
Morrisons and Debenhams surprise City with Christmas bounce back,positive,morrison debenham surprise city christmas bounce back
The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .,neutral,ongoing project tekla structure use vashi exhibition centre develop insteel engineer pvt ltdiivrcl infrastructure project ltd cidco
"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",positive,talentum expect net sale core business increase 2008 compare 2007
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",neutral,operate profit half 08 09 glisten invest brand management team
Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,neutral,total annual revenue come 160 mln zloty 569 mln42 3 mln euro
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral,correspond increase share capital eur422 754 enter trade register today
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",neutral,group ebit first half eur13 6 we 178 fall short eur22 5 post period 2009
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,relations city damage comment mr ashley criticise city investor analyst cry baby
"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",neutral,engine electrical output 18321 kw make large gas powered generating set world
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,negative,pretax profit total eur 49 mn compare eur 52 mn first quarter 2005
"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers .",neutral,recently found virent energy systems inc 80 person catalytic biofuel company president ceo lead company multiple financing define company market strategy secure company first customer
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",neutral,addus service include personal care assistance activity daily live skilled nursing rehabilitative therapy adult day care
TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,positive,tripadvisor jump rumor httpstcoo4lwcdxmbr trip
Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .,neutral,finnish civil aviation administration decide temporarily reopen finnish capital helsinki airport since 3 pm 11 pm monday local time
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",neutral,report accordance merge business operation start january 1 2011
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive,earning per share ep first quarter 2007 amount eur0 07 eur0 04
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative,finnline estimate annual general meeting 2008 financially tough year due large investment
"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now .",neutral,meanwhile minority shareholder expect teliasonera retain bid sell share
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",negative,external net sale printing business fall 437 partly due termination printing contract ilkkayhtyma printing house iprint oy sector player hss media ab december 2009 fall printing price
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive,operating profit eur 98 mn compared loss eur 127 mn correspond period 2009
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,positive,word street allergen look endo international fail pfizer merger may20 35 call active endp
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive,fbr capital reiterate outperform rating brcm price target 4500 friday
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",positive,metalszinc surge 12 pct glencore cut output fuel metal rally
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,negative,profit period fall eur 16 mn eur 75 mn januaryseptember 2008
Is It Worth Investing In Tesco PLC And Prudential plc Now?,positive,worth invest tesco plc prudential plc
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,neutral,finland finnish pharmaceutical company orion corporation omx helsinki ornav say wednesday 7 january conclude personnel negotiation finland reduce number personnel 205
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",positive,finnish retailer stockmann approval board swedish rival lindex public tender offer aim expand company presence russia cee country stockmann say monday
"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",positive,release company say vocollect t2 customer north america take advantage voice direct warehousing solution increase warehouse efficiency productivity gain discount price
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,neutral,niklas skogster employ abb group various position concern development operation
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",negative,operate profit exclude nonrecurre item total eur 02 mn eur 08 mn correspond period 2006
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,finnish metso paper award contract rebuild sabah forest industry sfi pulp mill sabah malaysia
Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,positive,ruukki forecast 1520 annual sale growth positive pretax result 2010
The price of GMO soy is 5 % -7 % lower than that of non-GMO .,neutral,price gmo soy 5 7 low nongmo
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,finland nokian tyres kazakhstan ordabasy corporation sign agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov say press conference
"With sales of $ 12.7 billion over the last twelve months ending October , 2010 and over 9,200 stores in 35 states , Dollar General is the nation 's largest small box discount retailer .",neutral,sale 127 billion last twelve month end october 2010 9200 store 35 state dollar general nation large small box discount retailer
GET MIDNIGHTTRADER IN REALTIME : This report is delayed .,neutral,get midnighttrader realtime report delay
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,negative,danish company flsmidth acknowledge violate patent hold finnish metso
"The share issue , derogating from the pre-emptive right of the shareholders and comprising some six million new shares at market price , will be offered for subscription by shareholders , holders of capital notes and by professional clients .",neutral,share issue derogate preemptive right shareholder comprise six million new share market price offer subscription shareholder holder capital note professional client
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral,tielinja generate net sale 75 mln euro 96 mln 2005
"Karachi , Sept. 14 -- Ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the Intel Atom processor Z6xx based smartphones .",neutral,karachi sept 14 ixono world leader development integration solution handheld device announce implement touch screen mobile user interface solution intel atom processor z6xx base smartphone
"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",positive,neste oil work 20 research communities europe america africa asia australia develop introduce new raw material
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",positive,new agreement expand longestablished cooperation company involve transfer certain engineering documentation function larox etteplan
It 's not .,neutral,
"took some $ENDP long this am, using VWAP as guide",positive,take endp long use vwap guide
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neutral,despite sale growth uks tesco caution recovery bumpy
"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",neutral,finland metal sector company componenta lay temporarily staff pori mill christmas 2008 till 6 january 2009
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",positive,middle east north africa tecnotree grow considerably recent year
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,operate profit net sale sixmonth period increase respectively eur18 1 eur127 6 compare corresponding period 2006
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",neutral,insurer axa par cs slide 535 eur 1415 citigroup ing slash target stock
"The order values at EUR 6.9 mn , and it consists of design services and hardware and software licences .",neutral,order value eur 69 mn consist design service hardware software licence
Scanfil has also issued a profit warning .,negative,scanfil also issue profit warning
"A spokesman said : `` The food store center , subject to council and local support , could comprise a supermarket or smaller store and other niche outlets , and this will be firmed up following consultation with the council and local community regarding appropriate uses and occupiers . ''",neutral,spokesman say food store center subject council local support could comprise supermarket small store niche outlet firm follow consultation council local community regard appropriate us occupier
The bond has a value of EUR150m and a maturity of 4 years .,neutral,bond value eur150 m maturity 4 year
MillerCoors Board Names Gavin Hattersley Interim CEO,neutral,millercoors board name gavin hattersley interim ceo
Airbus will attempt to evacuate up to 873 people within 90 seconds .,neutral,airbus attempt evacuate 873 people within 90 second
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,first quarter underlie operating profit rise 41 mln eur 33 mln year early
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,eps quarter eur0 00 compare eur0 01 third quarter 2008 represent group net sale third quarter eur15 3 28 compare eur14 9 third quarter 2008
Royal Dutch Shell profit rises; dividend up 4%,positive,royal dutch shell profit rise dividend 4
"Meanwhile , Electrowatt-Ekono Philippines , Inc. was also awarded a three-year operation and maintenance ( O&M ) contract by FR Cement Corporation .",positive,meanwhile electrowattekono philippines inc also award threeyear operation maintenance om contract fr cement corporation
The agreement includes application maintenance and support services .,neutral,agreement include application maintenance support service
`` Nokia is just interested in bring Nokia to the market . '',neutral,nokia interested bring nokia market
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,positive,affecto expect net sale whole 2010 increase 2009 level reach eur 103 million
"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",neutral,report profile 158 company include many key niche player include major nonwoven manufacturer ahlstrom corporation asahi kasei corporation buckeye technologies inc ei
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,negative,layoff affect 240 people total 320 okmetic employee finland
`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,positive,acquisition elektro pavara complete kone market expansion strategy baltic country
"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive,18 may 2010 finnish electronic producer elcoteq se hel elqav say today sign extensive cooperation agreement industrialisation manufacture distribution aftermarket service mobile phone japan sharp tyo 6753
Morrisons book second consecutive quarter of sales growth,positive,morrison book second consecutive quarter sale growth
"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M .",positive,marimekko today 20 november sign license agreement swedish chain whereby marimekko license popular pattern 1950s 1960 1970s hm
"that was quick, out $FIO 21.35, market tanking, scaling down longs now",negative,quick fio 2135 market tank scale long
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",negative,announcement push freenet share 63 eur0 71 frankfurt trade eur10 65 investor give hope united internet ag drillisch would pursue takeover breakup freenet
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",positive,finnish telecom software developer tecnoman oyj say december 5 2006 33 mln 25 mln euro order supply expansion charge message system mobile fix network brasil telecom
CompaniesUnilever sales lifted by ice cream in soft economy,positive,companiesunilever sale lift ice cream soft economy
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,ep drop eur0 2 eur0 3
@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,negative,saltwaternurse ino test 10 next day time take profit hedge put
No financial information was provided .,neutral,financial information provide
EasyJet attracts more passengers in June but still lags Ryanair,positive,easyjet attract passenger june still lag ryanair
Morning Agenda: Shire's Deal for NPS,positive,morning agenda shire deal nps
Metso will supply the equipment for two process lines at Northland Resources ' new Kaunisvaara iron ore project in Sweden which exploits Tapuli and Sahavaara iron ore deposits .,positive,metso supply equipment two process line northland resource new kaunisvaara iron ore project sweden exploit tapuli sahavaara iron ore deposit
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,agreement biohit become focus supplier pipettor disposable pipettor tip vwr customer throughout europe
The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,neutral,company previous estimate low revenue yearago eur 939 million
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,negative,earning per share ep drop eur 021 eur 031
"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral,bid offer include least 1000 share value share must correspond least eur4 000
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,neutral,earning per share eps amount loss eur0 06
NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,negative,netapp downgrade macquarie underperform 2200 pt httpstcoxcngws0t4q ntap ntap via ratingsnetwork
`` Russia is ready to participate in an open tender for Lattelecom 's privatization .,neutral,russia ready participate open tender lattelecom privatization
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive,technopolis st petersburg government sign cooperation memorandum october 2005 set technopark neudorf production zone village strelny st petersburg suburb
The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .,neutral,owner participate business operation company continue poyry employment transaction
The goal is to secure the company 's profitability and competitiveness .,neutral,goal secure company profitability competitiveness
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",negative,however company see net profit third quarter eur 14 million eur 15 million corresponding period 2009
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",positive,neste oil board propose 100 eur dividend fullyear 2007 compare 090 eur year ago
Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,neutral,basware einvoice oy merged parent company present fiscal period
#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,positive,fintech provider cafn cachet financial solution surge forward today post earning 1326 httpstco9bj3csk2i9 jkhy fisv momo
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral,kemira installation nordalu produce 3500 ton liquid solid aluminum waste per year
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,neutral,charter accountant british columbia alberta well certify public accountant washington state
` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,positive,recommendable nokian z g2 accord adac judgement late summer tyre test german automobile association adac
- The Group -¦ s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,neutral,group ¦ result taxis loss eur 06 06 million
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,neutral,cash flow operating activity investment eur 08 12 million
Viking Line has canceled some services .,negative,vike line cancel service
Exel is headquartered in Mantyharju in Finland .,neutral,exel headquarter mantyharju finland
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,negative,stora chief executive jouko karvinen describe russian tariff hike threat future forest product industry finland
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive,barclays bank america citigroup blockchain sight
"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",positive,google inc completes acquisition icoa inc httpstksconfei icoa goog
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",positive,tsla look goodid love see base action let rsi take breather httpstkscog1t7c
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",neutral,finnish plumbing heating system supplier uponor net sale continue operation decrease 94 2008 eur 9492 mn eur 10474 mn 2007
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",positive,location make mall convenient place shop consumer three large residential area nearby jaroszowka wysockiego zgody
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,finnish insurance company fennia kesko group end loyal customer cooperation
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",neutral,case comprise first side casing member provide first side vat segment second side casing member provide second side vat segment least first side case member pivotable rotation axis
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,finlandbase elcoteq se privately hold provider electronic manufacturing service communication company say thursday sign longterm manufacturing supply deal communication equipment company andrew corp
"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",neutral,q1 2009 bank àland net interest income weaken 10 eur 91 mn
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,neutral,rbs pay 17 billion scrap uk treasury dividend right
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,increase trust client yit see apartment sale accelerate
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,neutral,talvivaara mining company plc talvivaara mining company internationally significant base metal producer primary focus nickel zinc use technology know bioheapleaching extract metal ore
Operating profit for 2009 lower than outlook published earlier .,neutral,operate profit 2009 low outlook publish early
Less than ten people will face pension agreements .,neutral,less ten people face pension agreement
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidated operating profit amount eur 1586 mn eur 414 mn yearonyear
AstraZeneca to Buy ZS Pharma for $2.7 Billion,positive,astrazeneca buy zs pharma 27 billion
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,negative,finnish waste management cleaning group lassila tikanoja oyj lt net profit go 322 mln euro 477 mln 2007 353 mln euro 523 mln 2006
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,neutral,operate margin aker yard cruise ferry division go 83 64 first quarter 2007
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",negative,helsinki thomson financial share cargotec fall sharply early afternoon trade cargo handling group post surprise drop apriljune profit overshadow large number new order receive three month
The program 's target is structural cost reductions of about EUR 30mn in 2009 .,positive,program target structural cost reduction eur 30mn 2009
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral,tool specifically design need business user ict expert mind
"Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .",neutral,ahlstrom corporation seppo parvi cfo distribution main media wwwahlstromcom ahlstrom brief ahlstrom global leader development manufacture market high performance nonwoven specialty paper
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,prior transaction whose financial term disclose alma medium own 40 kotikokki net
$CTRP not a bad long chart now that it's through sma100 resistance.,positive,ctrp bad long chart sma100 resistance
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral,merger upm finnishswedish stora enso likely either
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive,hyg potential continuation uptrend 60154 chart httpstkscot1qp6
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive,peroni grolsch put sale ab inbev plan acquisition sabmiller
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,operating profit ninemonth period increase eur13 6 net sale increase eur394 7 compare correspond period 2005
The beers differ slightly from mainstream beers .,neutral,beer differ slightly mainstream beer
Financial details were n't disclosed .,neutral,financial detail not disclose
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",positive,separately yit corporation austrian firm e ag last week sign agreement sale e building system service business germany austria poland czech republic hungary romania eur 55 mln
Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .,neutral,finnish aluminium product manufacturer nordic aluminium plc omx helsinki noa1v report monday 18 august operate profit eur7 9 net sale eur55 2 period januaryjune 2008
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",neutral,temporary layoff affect entire workforce also implement
"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",positive,southfield mich central corporate credit union distribute patronage dividend member waive service fee incur month july november 2008 tune estimate 1 million
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,sale rise 10 pct 566 mln eur back strong volume favourable currency effect
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,choose giant countdown red head rainbow trout giant shad rap perch color
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",positive,russian export duty activate harvesting finland sale russia increase also
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",negative,finnish electronic manufacturing service ems company elcoteq se post net loss 664 mln euro 912 mln first half 2007 compare net profit 71 mln euro 98 mln period 2006
"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral,preliminary estimate hotel operate brand novotel
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,positive,credit 20 november 2009 finnish glass technology company glaston oyj abp hel gla1v say today conclude eur74 m revolve credit facility agreement core bank
End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,positive,end day scan bullish crossovers bbva pds ntls ngl sbrcy fgl mtnoy ttt wwwdailystockplayscom
"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",neutral,tvo twounit 1740 mw olkiluoto plant generate 142 twh operating ratio across reactor 935 company describe high international standard
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,turun kaupunkin finland base company award contract lemminkainen talotekniikka oy electrical installation work
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,neutral,finnair total traffic decrease 87 term revenue passenger kilometre
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative,consolidated pretax profit decrease 692 eur 410 mn eur 1331 mn 2007
$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,positive,gild 91 support ibb bib httpstcogioof6zbkv
He wore a black beanie-type cap and a black jacket .,neutral,wear black beanietype cap black jacket
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,neutral,finnish developer manufacturer mobile phone charger salcomp plc omx helsinki sal1v wednesday 19 november lower fullyear net sale estimate
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,basware corporation stock exchange release august 31 2010 1625 basware sign large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,neutral,delivery start second half 2007 startup mill schedule 2008
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,cash flow operation recent quarter also reach eight year low
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",positive,mn pretax profit eur 464 mn eur 358 mn third quarter 2006
- Tikkurila inspires you to color your life .,neutral,tikkurila inspire color life
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive,isrg trading alltime high strong earning report 4 day short interest
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",neutral,october upm report thirdquarter net loss euro86 million 110 million compare net profit euro120 million 2007
Tesco shares jump 6% after Christmas sales beat expectations,positive,tesco share jump 6 christmas sale beat expectation
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,neutral,potential acquirer cencorp corporation relate entity sav owe sav cencorp subsidiary finnish savcor group oy
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",neutral,yit baltic sale first three quarter 2008 total 1062 million euro represent drop 29 percent year year
Net loss in the same period in 2009 was euro18 .6 million .,neutral,net loss period 2009 euro18 6 million
"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros .",neutral,also cba issue benchmark 10 year fix rate deal euro
Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,neutral,aspo group structure business operation develop persistently without predefine schedule
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,neutral,loss period total eur 156 mn compare profit eur 63 mn 2008
Shell to buy BG Group in $69.7 billion takeover,positive,shell buy bg group 697 billion takeover
$BBRY hearing rumours of a major joint venture announcement.,positive,bbry hearing rumour major joint venture announcement
Philips was not available to comment on the report .,neutral,philips available comment report
Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,positive,sony ericsson nokia dominate list bestselle handset five model
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",positive,repeat order follow successfully instal 159 elevator delhi metro system kone spokeswoman tell thomson financial news
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,operating profit kauppalehti group rise eur 15 mn eur 13 mn marketplaces eur 13 mn eur 10 mn third quarter 2006
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",neutral,work include lay natural stone pavement installation underground heating surface water drainage system
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",positive,profit taxis eur 01 mn compare eur 04 mn previous year
"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",neutral,currently terminator lur produce subcontract facility mexico manufacturing transfer rapala factory shenzhen china
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",neutral,change market situation tough price competition substantially reduce demand bread packaging manufacture kauhava plant accord company
