sentence,sentiment,sentence_clear,sentence_pt
This resulted in improved sales figures in Sweden .,positive,This resulted in improved sales figures in Sweden .,Isso resultou em melhores números de vendas na Suécia.
The arrangements do not apply to the group 's units outside Finland .,neutral,The arrangements do not apply to the group 's units outside Finland .,As disposições não se aplicam às unidades do grupo fora da Finlândia.
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,neutral,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,"O lucro operacional foi de 1,6 milhões de euros em 2005, comparado a 5,9 milhões de euros em 2004."
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative,RBI surprises Street; Sensex pares gains after hitting mount 30k,RBI surpreende Wall Street; Sensex reduz ganhos após atingir a marca de 30 mil
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive,"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te","(ADP News) - 30 de setembro de 2008 - A desenvolvedora finlandesa de soluções de software de segurança e privacidade Stonesoft Oyj anunciou hoje que ganhou um contrato de US$ 1,9 milhão (EUR 1,3 milhão) para fornecer seus produtos de segurança de rede StoneGate a uma empresa russa não identificada."
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,"Tieto 's service is also used to send , process and receive materials related to absentee voting .","O serviço da Tieto também é usado para enviar, processar e receber materiais relacionados à votação por correspondência."
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,O grupo finlandês Stockmann encerrou as atividades de sete lojas franqueadas da Nike na Rússia.
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO","Lucro da Whitbread sobe com o aumento das vendas, e a empresa busca um novo CEO."
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,positive,Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,A Aspocomp liquidou sua dívida com juros junto ao Standard Chartered Bank e utilizará o restante do valor recebido para amortizar parcialmente suas obrigações com juros na Finlândia e para melhorar sua liquidez.
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,"Fastenal misses by 0.01, misses on revenue FAST #NYSE https://t.co/63JHQ7pwMN","Fastenal fica abaixo das expectativas por 0,01 e também não atinge as metas de receita #NYSE https://t.co/63JHQ7pwMN"
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,neutral,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro  30.6 mln in 2006 from 33.5 mln euro  43.6 mln in 2005 .,"O grupo de investimento finlandês Norvestia Oyj informou que seu lucro líquido caiu para 23,5 milhões de euros em 2006, contra 33,5 milhões de euros em 2005."
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral,"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .","A comissão encontrou provas de várias reuniões para discutir o cartel, incluindo uma num restaurante de Bruxelas em novembro de 1997, na qual as empresas discutiram aumentos de preços."
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .","Como parte das medidas de reorganização que ocorrerão na primavera de 2006, a Tamglass Finton iniciará negociações de pessoal que afetarão toda a sua equipe de 33 funcionários."
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,neutral,This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,"Isso corresponde a 4,628% do capital social e dos direitos de voto da Okmetic."
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",positive,"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .","Tim Cockroft traz consigo uma excelente trajetória profissional, com mais de 18 anos de experiência; além disso, Tim desenvolveu com sucesso as operações de Mercado de Capitais na Kaupthing Singer & Friedlander, envolvendo finanças corporativas e corretagem, com foco em empresas de médio porte."
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,"25 de novembro de 2010 - A empresa finlandesa de tintas e revestimentos Tikkurila Oyj (HEL: TIK1V) anunciou hoje que a empresa estatal finlandesa de investimentos Solidium Oy vendeu sua participação de 14,7% na empresa por um total de 98 milhões de euros."
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,O alcance visual da pista (Runway Visual Range) é uma avaliação calculada da distância que um piloto consegue enxergar ao longo da pista.
"ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million ( $ 310 million to $ 316 million ) .",neutral,"ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million (  310 million to  316 million ) .","A ABN Amro Capital concordou em vender sua produtora de artigos de decoração para casa, a Iittala Oyj, com sede em Helsinque, para o grupo de produtos de consumo Fiskars Corp., também localizado em Helsinque, por um valor entre 230 milhões e 235 milhões de euros (310 milhões a 316 milhões de euros)."
Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral,Feed companies Suomen Rehu and Raisio do no import GMO feed .,As empresas de ração Suomen Rehu e Raisio não importam ração com transgênicos.
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",neutral,"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .","A solução da Tecnomen pode ser usada para faturamento pré-pago e pós-pago, para cobrança e tarifação de chamadas de voz e vídeo, tráfego de dados e qualquer tipo de serviço de conteúdo em redes móveis e fixas."
Performance is based on values and sustainability .,neutral,Performance is based on values and sustainability .,O desempenho é baseado em valores e sustentabilidade.
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",neutral,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",A Biohit informou que reduzirá em 10 o número de funcionários terceirizados e demitirá 10 funcionários próprios.
$GEVO PLUNGING!  Back to $3.55.,negative,GEVO PLUNGING!  Back to 3.55.,"GEVO MERGULHANDO! De volta a 3,55."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","O lucro líquido da empresa aumentou 11,4% em relação ao ano anterior, atingindo 82,2 milhões de euros em 2005, com vendas de 686,5 milhões de euros, um aumento de 13,8% em relação ao ano anterior, informou a empresa anteriormente."
Earnings per share EPS amounted to EUR0 .01 .,neutral,Earnings per share EPS amounted to EUR0 .01 .,"O lucro por ação (EPS) foi de 0,01 EUR."
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",negative,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients","Ingenious, HSBC, UBS e Coutts são processados ​​por clientes acusados ​​de ""evasão fiscal""."
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","Foi assinado um contrato de compra de 7.200 toneladas de gasolina com entrega no terminal de Hamina, na Finlândia, com a Neste Oil OYj, ao preço médio do índice Platts para setembro deste ano, acrescido de oito dólares americanos por mês."
Short on $ATVI from 24.55.,negative,Short on ATVI from 24.55.,"Curto prazo no ATVI a partir de 24,55."
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,PKT Momentum se formando para um gatilho de rompimento! Configuração longa http://stks.co/eXVU
The platform would continue to be the development framework for Symbian and MeeGo .,neutral,The platform would continue to be the development framework for Symbian and MeeGo .,A plataforma continuaria sendo a estrutura de desenvolvimento para Symbian e MeeGo.
"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral,"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .","19 de maio de 2010 - A empresa finlandesa Lemminkainen Oyj (HEL: LEM1S) anunciou hoje que construirá um prédio de escritórios em Toolonlahti, no centro de Helsinque, sem divulgar detalhes financeiros."
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,"The final price will be specified by 14 May 2010 , the acquiring company said .","O preço final será especificado até 14 de maio de 2010, informou a empresa adquirente."
"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .",neutral,"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .","Conforme anunciado anteriormente, a Nordea Pankki Suomi Oyj firmou contratos futuros para ações da Alma Media Corporation."
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",neutral,"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .","O lucro antes dos impostos foi de 4,0 milhões de euros, contra 4,9 milhões de euros no mesmo período do ano anterior."
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral,They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,"Ambos se reportarão ao diretor executivo da Oriola-KD, Eero Hautaniemi."
"By cutting the number of plants , the group will trim fixed costs .",positive,"By cutting the number of plants , the group will trim fixed costs .","Ao reduzir o número de fábricas, o grupo diminuirá os custos fixos."
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,"SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","SINA, mesmo que o ""relatório"" seja falso e já tenha sido comprovado que é falso, o estrago já está feito. Ninguém quer mais se envolver com a empresa."
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,positive,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,O governo de Merkel teria apoio à fusão entre a Deutsche Börse e a Bolsa de Valores de Londres (LSE).
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',neutral,`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',"""O lucro operacional diminuiu principalmente devido ao aumento do custo da madeira e da fibra reciclada e à valorização do euro."""
CompaniesTesco off to a bad start over Xmas â€“ Kantar,negative,CompaniesTesco off to a bad start over Xmas â€“ Kantar,Empresas: Tesco começa o Natal com o pé esquerdo – Kantar
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",A capacidade da fábrica construída pelo grupo finlandês Vaahto é de 86.000 toneladas de papel revestido leve.
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,17 de março de 2011 - O Goldman Sachs estima que existem perspectivas negativas para as operações de telefonia móvel da norueguesa Telenor ASA OSL: TEL e da sueca TeliaSonera AB STO: TLSN no curto prazo.
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .","A Steek, fundada em 2002, está sediada em Bordéus, no sudoeste da França."
President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,positive,President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,"O presidente e CEO Mika Vehvilñen afirma que os sinais positivos estão surgindo, antes de tudo, fora da Finlândia."
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,positive,Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,O grupo finlandês de construção Lemmink+ñinen recebeu dois contratos de construção de estradas da administração de transportes da Lituânia.
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral,"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .","Segundo Eijkens, uma editora pode fazer muito mais do que simplesmente publicar livros coloridos: uma editora pode agregar valor à informação, individualizando-a."
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,"A empresa finlandesa de tecnologia de wafers de silício Okmetic Oyj OMX Helsinki: OKM1V anunciou na quarta-feira, 17 de setembro, que investirá 6 milhões de euros em seu negócio de wafers para sensores durante 2009."
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,"Eu consideraria esta oportunidade para adicionar minha posição à lista de prioridades, pois a empresa está no caminho certo e continua a melhorar as vendas..."
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,neutral,The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,A baixa taxa de utilização da capacidade na produção de aço aumenta consideravelmente os custos fixos por unidade de aço produzida.
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,Work on the assignment has already started and is due for completion in spring 2011 .,O trabalho para a tarefa já começou e deve ser concluído na primavera de 2011.
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive,"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .","O Progress Group, representante do QPR na Arábia Saudita e no Norte da África, assinou um acordo-quadro para uma relação estratégica de longo prazo com a ISE."
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,negative,Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,"O Banco Finlandês da Finlândia (+àland) informou que seu lucro operacional caiu para 4,9 milhões de euros no terceiro trimestre de 2007, ante 5,6 milhões de euros no terceiro trimestre de 2006."
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",neutral,"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .","As vendas líquidas da finlandesa Kemira diminuíram para 1.259,6 milhões de euros no período de janeiro a junho de 2009, em comparação com 1.425,1 milhões de euros no mesmo período de 2008."
Financial terms were not disclosed .,neutral,Financial terms were not disclosed .,Os termos financeiros não foram divulgados.
The company may at any time have in its possession one tenth of all its shares at the maximum .,neutral,The company may at any time have in its possession one tenth of all its shares at the maximum .,"A empresa poderá, a qualquer momento, ter em sua posse um décimo de todas as suas ações, no máximo."
The value of the orders is about EUR 70mn .,neutral,The value of the orders is about EUR 70mn .,O valor das encomendas é de cerca de 70 milhões de euros.
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive,"RECAP: MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs","RESUMO: Rumores desta manhã sobre a MSFT indicavam a separação da unidade XBOX, e as ações subiram ao longo do dia, fechando em alta."
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .","Segundo a finlandesa Metso Minerals, o valor das encomendas da empresa subiu para 1,9 mil milhões de euros em 12 meses."
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",neutral,"Therefore , the company 's 2005 result will remain weaker than that of 2004 .","Portanto, o resultado da empresa em 2005 continuará sendo inferior ao de 2004."
Breakingviews: IAG can pay more for Aer Lingus,positive,Breakingviews: IAG can pay more for Aer Lingus,Breakingviews: IAG pode pagar mais pela Aer Lingus
"The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi , southern Finland .",neutral,"The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi , southern Finland .","O projeto do óleo de pinho está relacionado à modernização da planta de recuperação química da UPM em sua fábrica de celulose em Kymi, no sul da Finlândia."
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative,Standard Chartered Shifts Emerging-Markets Strategy After Losses,Standard Chartered altera estratégia para mercados emergentes após prejuízos.
AB InBev to Sell SABMiller Stake in China's Snow Beer,neutral,AB InBev to Sell SABMiller Stake in China's Snow Beer,AB InBev venderá participação da SABMiller na cerveja chinesa Snow Beer.
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral,"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .","O Grupo Marubeni concentra-se na criação de uma ""cadeia de valor"" desde a exploração e produção até o processamento e distribuição, abrangendo uma ampla variedade de áreas de negócios, incluindo petróleo e gás, metais, recursos minerais, alimentos, celulose e papel e produtos químicos, entre outros."
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",positive,"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .","Graças à sua experiência única em fibras e à sua abordagem inovadora, a empresa possui uma posição de mercado sólida em diversas áreas de negócio em que atua."
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral,The personnel s expertise and high level of technology play a major role in Exel Composites operations .,A experiência e o alto nível tecnológico da equipe desempenham um papel fundamental nas operações da Exel Composites.
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .","A Coca-Cola foi líder de mercado entre os fabricantes, com uma participação de mercado de 36,9%, uma queda de 2,2% em relação ao período correspondente de 2004-2005."
Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,neutral,Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,"A Metsa-Botnia venderá 82,1% de sua participação nas empresas uruguaias e a Metsaliitto, 5,5%."
Aviva weighs cash handout after beating profit forecast,positive,Aviva weighs cash handout after beating profit forecast,Aviva avalia distribuição de dinheiro após superar as previsões de lucro
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",Tesla fará recall de 2.700 SUVs Model X devido a problema nos assentos https://t.co/OdPraN59Xq TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral,Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,O abate e o desmembramento de bovinos nas instalações de Kuopio serão transferidos para o matadouro de Kauhajoki.
"`` Adjustment to the fall in price level , in contrast , has been less effective .",neutral,"`` Adjustment to the fall in price level , in contrast , has been less effective .","Em contrapartida, o ajuste à queda do nível de preços tem sido menos eficaz."
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",neutral,"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .","A Okmetic possui uma base de clientes e uma rede de vendas global, fábricas na Finlândia e nos EUA, e fabricantes terceirizados no Japão e na China."
Public services will also be available .,neutral,Public services will also be available .,Os serviços públicos também estarão disponíveis.
Asian traffic declined by 3.4 per cent .,neutral,Asian traffic declined by 3.4 per cent .,"O tráfego asiático diminuiu 3,4%."
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,Os mercados de construção finlandês e sueco ainda registram um crescimento anual estimado em 4% em 2008.
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,Comunicado à Bolsa de Valores 10/03/2011 12:00 A Sanoma publicou seu Relatório Anual e Demonstrações Financeiras de 2010 e seu primeiro Relatório de Responsabilidade Corporativa.
"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral,"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .","A empresa tem como meta vendas de Ls 27,1 milhões (Ls 23,498 milhões) e um lucro de Ls 300.000 (Ls 371.500) em 2007."
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .","Após a aquisição, a Cramo se tornará a segunda maior fornecedora de serviços de aluguel no mercado letão."
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral,Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,"A Ruukki está reestruturando suas operações de construção comercial e industrial em busca de melhorias permanentes, ao mesmo tempo em que adapta suas operações às condições de mercado."
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive,"It projected revenue of  2.2 billion to  2.3 billion , slightly higher than analyst estimates of  2.19 billion .","A empresa projetou uma receita entre 2,2 bilhões e 2,3 bilhões, ligeiramente superior às estimativas dos analistas, que previam 2,19 bilhões."
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",positive,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .","A corretora afirmou que 2006 representou um ""verdadeiro ponto de virada"" nos preços básicos do aço na Europa, com uma melhora nos preços prevista para o segundo trimestre de 2006."
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,negative,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,"O lucro operacional no quarto trimestre caiu para 33 milhões de euros, contra 39 milhões de euros no ano anterior."
$JD down 20% in after-hour market. anyone care to explain why?,negative,JD down 20% in after-hour market. anyone care to explain why?,As ações da JD caíram 20% no mercado after-market. Alguém sabe explicar o motivo?
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .","O lucro operacional totalizou 83,0 milhões de euros, um aumento em relação aos 23,5 milhões de euros do ano anterior."
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive,BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,RESUMO - A Aviva pretende aumentar o índice de distribuição de dividendos para 50% em 2017.
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive,EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,"EXPE está na segunda etapa de sua reversão de tendência, rompendo mais uma tendência de baixa e continuando a subir. https://t.co/76DSJysyR0"
"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral,"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .","A GeoSentric está obtendo financiamento adicional por meio da emissão de um máximo de 220.000 novas ações e um título conversível com direito de subscrição para 880.000 ações, que já foram totalmente subscritas."
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive,"ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH","Alertas técnicos da ADBE: Expansão em alta, configuração de venda ""Ilha de Gilligan"", aumento de volume e novo 52... https://t.co/LxX66tknFH"
$IWM same conditions that sent markets to tumble all hitting this week,negative,IWM same conditions that sent markets to tumble all hitting this week,IWM: As mesmas condições que levaram os mercados à queda estão se repetindo esta semana.
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative,AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,A queda de quase 3% nas ações da AAPL é muita coisa... agora o melhor que posso fazer é manter as ações (ER) rsrs.
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,"O lucro operacional melhorou 27%, atingindo 579,8 milhões de euros, contra 457,2 milhões de euros em 2006."
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral,"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .","Em 1º de dezembro, Grimaldi adquiriu 1,5 milhão de ações e uma participação de 50,1% na Finnlines."
Shire proposes $30 bln all-share tie-up with Baxalta,positive,Shire proposes 30 bln all-share tie-up with Baxalta,A Shire propõe uma fusão de 30 bilhões de dólares em ações com a Baxalta.
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral,"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .","Em julho passado, o grupo afirmou que pretendia transferir os armazéns e escritórios de Loudéac e Saint Marcel para Morvillars, no leste da França, onde já opera uma unidade de fabricação e distribuição de ganchos."
Pohjola and cooperative banks have continued to combine their branch office network .,neutral,Pohjola and cooperative banks have continued to combine their branch office network .,Pohjola e os bancos cooperativos continuaram a combinar sua rede de agências.
